2,斗兽棋, http://res.uxin.com/game/doushouqiyx3.zip         , NULL                                              
3,连连看, http://res.uxin.com/game/lianliankanyx3.zip       , NULL                                              
4,消消乐, http://res.uxin.com/game/xiaoxiaoleyx3.zip        , NULL                                              
10,教室大战, http://res.uxin.com/game/jiaoshidazhan3.zip       , http://res.uxin.com/game/classroom_1521174030.zip 
11,翻转棋, http://res.holoface.com.cn/game/fanzhuanqi1.zip   , http://res.uxin.com/game/reversi_1521191670.zip   
12,旅行青蛙跳一跳, http://res.holoface.com.cn/game/caizhuankuai1.zip , NULL                                              
13,UU过河, http://res.uxin.com/game/uuguohe1.zip             , NULL                                              
14,勇攀高峰, http://res.holoface.com.cn/game/shanglouti.zip    , NULL                                              
15,决战星球, http://res.uxin.com/game/juezhanxingqiu.zip       , https://res.uxin.com/game/ballon_1521193982.zip   
16,阶梯英雄, http://res.uxin.com/game/jietiyingxiong1.zip      , http://res.uxin.com/game/stephero_1521099684.zip  
17,雪球大战, http://res.uxin.com/game/duobipaodan1.zip         , NULL                                              
18,超级虐跑, http://res.uxin.com/game/nuepao1.zip              , http://res.uxin.com/game/run_1521173615.zip       
19,疯狂转盘, http://res.uxin.com/game/fengkuangzhuanpan.zip    , NULL                                              
20,五子棋, http://res.holoface.com.cn/game/wuziqi.zip        , NULL                                              